circuito_id,seccion_id,seccion,localidad,mesas,electores,anio_referencia
03380,13,Rosario,,42,14536,2023
03390,13,Rosario,,154,53616,2023
03400,13,Rosario,,111,38658,2023
03410,13,Rosario,,14,4797,2023
03415,13,Rosario,,2,528,2023
03420,13,Rosario,,1,292,2023
03430,13,Rosario,,19,6437,2023
03435,13,Rosario,,6,2029,2023
03450,13,Rosario,,58,20148,2023
03455,13,Rosario,,14,4812,2023
03500,13,Rosario,,3,776,2023
03505,13,Rosario,,3,856,2023
03510,13,Rosario,,7,2275,2023
03515,13,Rosario,,1,347,2023
03520,13,Rosario,,88,30724,2023
03550,13,Rosario,,110,38409,2023
03555,13,Rosario,,16,5333,2023
03560,13,Rosario,,53,18549,2023
03565,13,Rosario,,27,9427,2023
03570,13,Rosario,,11,3526,2023
03580,13,Rosario,,5,1433,2023
03585,13,Rosario,,3,940,2023
03600,13,Rosario,,85,29696,2023
03602,13,Rosario,,73,25351,2023
03604,13,Rosario,,58,20172,2023
03610,13,Rosario,,18,6133,2023
03615,13,Rosario,,13,4422,2023
03620,13,Rosario,,30,10314,2023
03625,13,Rosario,,16,5408,2023
03640,14,Caseros,,18,6258,2023
03650,14,Caseros,,9,2806,2023
03660,14,Caseros,,6,1796,2023
03670,14,Caseros,,14,4709,2023
03680,14,Caseros,,90,31396,2023
03690,14,Caseros,,3,1010,2023
03700,14,Caseros,,19,6488,2023
03710,14,Caseros,,15,4936,2023
03720,14,Caseros,,5,1463,2023
03730,14,Caseros,,5,1696,2023
03740,14,Caseros,,7,2165,2023
03750,14,Caseros,,17,5867,2023
03755,14,Caseros,,1,107,2023
03760,14,Caseros,,5,1577,2023
03770,15,Constitución,,20,6837,2023
03772,15,Constitución,,9,3006,2023
03774,15,Constitución,,3,895,2023
03780,15,Constitución,,2,379,2023
03782,15,Constitución,,4,1309,2023
03784,15,Constitución,,2,356,2023
03786,15,Constitución,,3,936,2023
03788,15,Constitución,,2,549,2023
03790,15,Constitución,,4,1281,2023
03792,15,Constitución,,2,554,2023
03794,15,Constitución,,2,648,2023
03800,15,Constitución,,9,3014,2023
03810,15,Constitución,,5,1656,2023
03820,15,Constitución,,7,2231,2023
03830,15,Constitución,,9,2921,2023
03840,15,Constitución,,118,41023,2023
03845,15,Constitución,,18,6157,2023
03846,15,Constitución,,7,2394,2023
03848,15,Constitución,,2,481,2023
03850,16,General López,,4,1173,2023
03852,16,General López,,1,279,2023
03854,16,General López,,2,421,2023
03860,16,General López,,5,1550,2023
03862,16,General López,,3,720,2023
03864,16,General López,,11,3627,2023
03870,16,General López,,5,1676,2023
03880,16,General López,,6,1778,2023
03885,16,General López,,1,250,2023
03890,16,General López,,15,5169,2023
03900,16,General López,,50,17483,2023
03904,16,General López,,6,1998,2023
03906,16,General López,,3,735,2023
03908,16,General López,,2,419,2023
03910,16,General López,,2,434,2023
03915,16,General López,,5,1486,2023
03920,16,General López,,6,1774,2023
03930,16,General López,,6,2051,2023
03935,16,General López,,3,876,2023
03940,16,General López,,48,16626,2023
03950,16,General López,,3,923,2023
03955,16,General López,,10,3248,2023
03960,16,General López,,13,4317,2023
03965,16,General López,,2,640,2023
03970,16,General López,,11,3849,2023
03975,16,General López,,11,3701,2023
03980,16,General López,,15,5126,2023
03990,16,General López,,61,21075,2023
03992,16,General López,,55,18990,2023
03994,16,General López,,46,15981,2023
03996,16,General López,,32,11202,2023
04000,16,General López,,24,8303,2023
04010,16,General López,,15,5061,2023
04015,16,General López,,12,4008,2023
04020,17,Belgrano,,31,10605,2023
04030,17,Belgrano,,33,11399,2023
04040,17,Belgrano,,34,11746,2023
04045,17,Belgrano,,4,1273,2023
04050,17,Belgrano,,7,2437,2023
04060,17,Belgrano,,6,1974,2023
04070,18,Iriondo,,4,1167,2023
04080,18,Iriondo,,77,26879,2023
04090,18,Iriondo,,4,1115,2023
04100,18,Iriondo,,15,4921,2023
04110,18,Iriondo,,6,2031,2023
04115,18,Iriondo,,2,420,2023
04120,18,Iriondo,,13,4246,2023
04130,18,Iriondo,,28,9467,2023
04132,18,Iriondo,,2,698,2023
04134,18,Iriondo,,1,47,2023
04140,18,Iriondo,,10,3377,2023
04145,18,Iriondo,,9,2816,2023
04150,18,Iriondo,,8,2703,2023
04160,19,San Lorenzo,,42,14608,2023
04170,19,San Lorenzo,,1,21,2023
04172,19,San Lorenzo,,7,2277,2023
04174,19,San Lorenzo,,6,2062,2023
04180,19,San Lorenzo,,16,5398,2023
04185,19,San Lorenzo,,2,658,2023
04190,19,San Lorenzo,,4,1195,2023
04200,19,San Lorenzo,,42,14502,2023
04205,19,San Lorenzo,,73,25473,2023
04210,19,San Lorenzo,,49,17109,2023
04220,19,San Lorenzo,,9,3018,2023
04224,19,San Lorenzo,,3,815,2023
04230,19,San Lorenzo,,67,23182,2023
04240,19,San Lorenzo,,7,2427,2023
04245,19,San Lorenzo,,11,3780,2023
04250,19,San Lorenzo,,116,40434,2023
