anio,instancia,cargo,distrito_id,distrito,recuento_tipo,fuente,nivel,seccion_id,circuito_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,COALICION CIVICA ARI,,agrupacion,2192
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,MOVIMIENTO DE ACCION VECINAL,,agrupacion,127
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,17111
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,ALIANZA FRENTE POPULAR,,agrupacion,9753
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,ALIANZA COMPROMISO FEDERAL,,agrupacion,3104
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,21321
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,524
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,ALIANZA PROYECTO SUR,,agrupacion,223
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,4823
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,nulos,,nulos,806
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,blancos,,blancos,1486
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,recurridos,,recurridos,195
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,DEL CAMPO POPULAR,,agrupacion,54
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,COALICION CIVICA ARI,,agrupacion,435
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,MOVIMIENTO DE ACCION VECINAL,,agrupacion,26
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,7460
